protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead
mqtt,X,receiver,1.0,X,0.04,0.0243,X
mqtt,0,sender,1.0,0.06,X,0.0003,130
mqtt,X,receiver,20.0,X,0.95,0.0148,X
mqtt,0,sender,20.0,0.97,X,0.0003,1272
mqtt,X,receiver,0.244140625,X,0.00,0.0153,X
mqtt,0,sender,0.244140625,0.01,X,0.0002,87
mqtt,X,receiver,50.0,X,2.40,0.0153,X
mqtt,0,sender,50.0,2.41,X,0.0003,3073
mqtt,X,receiver,5.0,X,0.23,0.0153,X
mqtt,0,sender,5.0,0.24,X,0.0002,371
mqtt,X,receiver,1.0,X,0.04,0.0148,X
mqtt,1,sender,1.0,0.05,X,0.0005,140
mqtt,X,receiver,20.0,X,0.92,0.0145,X
mqtt,1,sender,20.0,0.94,X,0.0004,1434
mqtt,X,receiver,0.244140625,X,0.00,0.0161,X
mqtt,1,sender,0.244140625,0.02,X,0.0005,91
mqtt,X,receiver,50.0,X,2.33,0.0142,X
mqtt,1,sender,50.0,2.34,X,0.0005,3475
mqtt,X,receiver,5.0,X,0.23,0.0143,X
mqtt,1,sender,5.0,0.24,X,0.0006,413
mqtt,X,receiver,1.0,X,0.04,0.0144,X
mqtt,2,sender,1.0,0.05,X,0.0007,140
mqtt,X,receiver,20.0,X,0.94,0.0141,X
mqtt,2,sender,20.0,0.95,X,0.0009,1434
mqtt,X,receiver,0.244140625,X,0.00,0.0143,X
mqtt,2,sender,0.244140625,0.01,X,0.0006,91
mqtt,X,receiver,50.0,X,2.35,0.0139,X
mqtt,2,sender,50.0,2.36,X,0.0007,3475
mqtt,X,receiver,5.0,X,0.23,0.0145,X
mqtt,2,sender,5.0,0.24,X,0.0007,413
