protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead
mqtt,0,sender,1.0,0.06,X,0.0003,130
mqtt,0,sender,20.0,1.20,X,45.4689,1272
mqtt,X,receiver,1.0,X,39.65,10.3546,X
mqtt,1,sender,1.0,0.05,X,0.2790,140
mqtt,X,receiver,1.0,X,37.04,13.0605,X
mqtt,1,sender,20.0,0.95,X,50.2764,1434
mqtt,X,receiver,20.0,X,1025.87,14.2273,X
mqtt,1,sender,0.244140625,0.02,X,1091.4755,91
mqtt,X,receiver,0.244140625,X,0.00,12.4995,X
mqtt,1,sender,50.0,2.39,X,12.6128,3475
mqtt,X,receiver,50.0,X,2598.69,11.6345,X
mqtt,1,sender,5.0,0.30,X,2704.4894,413
mqtt,X,receiver,5.0,X,254.30,13.0485,X
mqtt,2,sender,1.0,0.05,X,267.3516,140
mqtt,X,receiver,1.0,X,0.26,53.6376,X
mqtt,2,sender,20.0,0.97,X,54.2590,1434
