protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,0.244140625,1.61,X,0.0004,-157636,-61.5766,1.268,,0.10%,23.75 MB,0.0021
mqtt,0,receiver,0.244140625,X,0.00,5.0730,X,,544.821,False,,,
mqtt,0,sender,1.0,49.30,X,0.0002,95020,9.0618,0.170,,0.07%,27.95 MB,0.0457
mqtt,0,sender,0.244140625,5.97,X,0.0003,-99742,-38.9617,0.343,,0.07%,23.68 MB,0.0052
mqtt,0,receiver,0.244140625,X,0.00,2.4873,X,,630.447,False,,,
mqtt,0,sender,0.244140625,7.59,X,0.0005,-2556,-0.9984,0.270,,0.07%,23.63 MB,0.0083
mqtt,0,receiver,0.244140625,X,0.00,10.5166,X,,747.755,True,,,
mqtt,0,receiver,0.244140625,X,0.00,12.0801,X,,456.565,True,,,
mqtt,0,sender,0.244140625,7.49,X,0.0003,18118,7.0773,0.273,,0.10%,23.79 MB,0.0166
mqtt,0,sender,1.0,34.20,X,0.0003,-41356,-3.9440,0.245,,0.09%,27.89 MB,0.0437
mqtt,0,sender,0.244140625,13.31,X,0.0000,-127431,-49.7777,0.154,,0.10%,23.68 MB,0.0184
mqtt,0,receiver,0.244140625,X,0.00,4.1945,X,,462.965,False,,,
