protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,1.0,43.56,X,0.0008,191,0.193,,0.08%,24.78 MB,0.0416
mqtt,0,receiver,1.0,X,21.78,26.4096,X,0.385,True,,,
mqtt,0,sender,20.0,1017.07,X,0.0006,763,0.165,,0.08%,26.28 MB,1.0009
mqtt,0,receiver,20.0,X,994.17,25.1968,X,0.169,True,,,
mqtt,0,sender,0.244140625,7.03,X,0.0005,178,0.291,,0.08%,26.28 MB,0.0073
mqtt,0,receiver,0.244140625,X,0.00,11.8866,X,651.277,True,,,
mqtt,0,sender,50.0,2567.71,X,0.0005,1664,0.163,,0.08%,28.99 MB,2.4723
mqtt,0,receiver,50.0,X,2542.39,26.3046,X,0.165,True,,,
mqtt,0,sender,5.0,255.40,X,0.0003,312,0.164,,0.08%,28.99 MB,0.2550
mqtt,0,receiver,5.0,X,232.47,27.9935,X,0.180,True,,,
mqtt,1,sender,1.0,51.29,X,2.1765,209,0.164,,0.09%,28.01 MB,0.0562
mqtt,1,receiver,1.0,X,25.03,24.6996,X,0.335,True,,,
mqtt,1,sender,20.0,1031.12,X,0.1133,1009,0.163,,0.09%,28.12 MB,1.0935
mqtt,1,receiver,20.0,X,1004.95,27.0346,X,0.167,True,,,
mqtt,1,sender,0.244140625,12.92,X,0.2020,190,0.158,,0.08%,28.12 MB,0.0135
mqtt,1,receiver,0.244140625,X,0.00,13.3631,X,517.195,True,,,
mqtt,1,sender,50.0,2585.08,X,0.1164,2270,0.162,,0.08%,28.84 MB,2.6239
mqtt,1,receiver,50.0,X,2558.55,27.3927,X,0.164,True,,,
mqtt,1,sender,5.0,249.03,X,0.1181,378,0.168,,0.09%,28.84 MB,0.2655
mqtt,1,receiver,5.0,X,223.17,26.8448,X,0.188,True,,,
mqtt,2,sender,1.0,55.14,X,0.4832,221,0.152,,0.09%,27.87 MB,0.0583
mqtt,2,receiver,1.0,X,28.33,27.4706,X,0.296,True,,,
mqtt,2,sender,20.0,1048.84,X,0.3094,1173,0.160,,0.08%,27.99 MB,1.0641
mqtt,2,receiver,20.0,X,1020.55,28.9477,X,0.164,True,,,
mqtt,2,sender,0.244140625,13.98,X,0.3667,198,0.146,,0.07%,27.99 MB,0.0124
mqtt,2,receiver,0.244140625,X,0.00,14.2684,X,730.032,True,,,
mqtt,2,sender,50.0,2606.64,X,0.4159,2674,0.161,,0.08%,29.00 MB,2.5019
mqtt,2,receiver,50.0,X,2577.95,29.7229,X,0.163,True,,,
mqtt,2,sender,5.0,265.10,X,0.5463,422,0.158,,0.07%,29.06 MB,0.2497
mqtt,2,receiver,5.0,X,236.46,29.1533,X,0.177,True,,,
