protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,receiver,0.244140625,X,0.00,0.0087,X,,857.967,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0003,,,187.824,,,,
mqtt,0,receiver,1.0,X,0.01,0.0202,X,,1142.452,True,,,
mqtt,0,sender,1.0,0.02,X,0.0003,,,534.473,,,,
mqtt,0,receiver,5.0,X,0.05,0.0212,X,,774.496,True,,,
mqtt,0,sender,5.0,0.06,X,0.0002,,,741.598,,,,
mqtt,0,receiver,20.0,X,0.23,0.0201,X,,734.950,True,,,
mqtt,0,sender,20.0,0.22,X,0.0003,,,755.583,,,,
mqtt,0,receiver,50.0,X,0.57,0.0188,X,,737.070,True,,,
mqtt,0,sender,50.0,0.50,X,0.0002,,,833.670,,,,
mqtt,1,receiver,0.244140625,X,0.00,0.0073,X,,827.059,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0007,,,256.761,,,,
mqtt,1,receiver,1.0,X,0.01,0.0194,X,,1041.395,True,,,
mqtt,1,sender,1.0,0.02,X,0.0005,,,470.096,,,,
mqtt,1,receiver,5.0,X,0.06,0.0196,X,,722.623,True,,,
mqtt,1,sender,5.0,0.07,X,0.0005,,,601.265,,,,
mqtt,1,receiver,20.0,X,0.25,0.0193,X,,669.812,True,,,
mqtt,1,sender,20.0,0.26,X,0.0005,,,640.335,,,,
mqtt,1,receiver,50.0,X,0.63,0.0179,X,,668.456,True,,,
mqtt,1,sender,50.0,0.64,X,0.0005,,,658.237,,,,
mqtt,2,receiver,0.244140625,X,0.00,0.0078,X,,843.234,True,,,
mqtt,2,sender,0.244140625,0.01,X,0.0011,,,210.471,,,,
mqtt,2,receiver,1.0,X,0.01,0.0235,X,,834.099,True,,,
mqtt,2,sender,1.0,0.02,X,0.0009,,,357.452,,,,
mqtt,2,receiver,5.0,X,0.07,0.0256,X,,560.103,True,,,
mqtt,2,sender,5.0,0.09,X,0.0008,,,472.470,,,,
mqtt,2,receiver,20.0,X,0.29,0.0277,X,,583.445,True,,,
mqtt,2,sender,20.0,0.31,X,0.0012,,,544.524,,,,
mqtt,2,receiver,50.0,X,0.66,0.0202,X,,636.877,True,,,
mqtt,2,sender,50.0,0.67,X,0.0010,,,628.337,,,,
