protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,1.0,0.02,X,0.0008,191,463.446,,0.00%,23.75 MB,0.0000
mqtt,0,receiver,1.0,X,0.01,0.0145,X,657.220,True,,,
mqtt,0,sender,20.0,0.24,X,0.0005,763,713.165,,2.09%,23.88 MB,0.0062
mqtt,0,receiver,20.0,X,0.25,0.0110,X,659.848,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0005,178,310.655,,0.00%,23.88 MB,0.0000
mqtt,0,receiver,0.244140625,X,0.00,0.0070,X,934.459,True,,,
mqtt,0,sender,50.0,0.45,X,0.0005,1664,922.627,,2.71%,23.91 MB,0.0154
mqtt,0,receiver,50.0,X,0.64,0.0133,X,652.554,True,,,
mqtt,0,sender,5.0,0.05,X,0.0004,312,826.794,,1.60%,24.00 MB,0.0010
mqtt,0,receiver,5.0,X,0.06,0.0117,X,650.924,True,,,
mqtt,1,sender,1.0,0.02,X,0.0010,209,428.592,,0.00%,24.00 MB,0.0000
mqtt,1,receiver,1.0,X,0.01,0.0118,X,884.868,True,,,
mqtt,1,sender,20.0,0.26,X,0.0007,1009,639.452,,2.46%,24.00 MB,0.0081
mqtt,1,receiver,20.0,X,0.25,0.0100,X,658.045,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0008,190,251.830,,0.00%,24.00 MB,0.0000
mqtt,1,receiver,0.244140625,X,0.00,0.0063,X,769.750,True,,,
mqtt,1,sender,50.0,0.63,X,0.0012,2270,665.229,,2.22%,23.99 MB,0.0175
mqtt,1,receiver,50.0,X,0.63,0.0132,X,666.907,True,,,
mqtt,1,sender,5.0,0.07,X,0.0007,378,594.604,,2.30%,23.99 MB,0.0020
mqtt,1,receiver,5.0,X,0.06,0.0101,X,665.186,True,,,
mqtt,2,sender,1.0,0.02,X,0.0013,221,404.897,,3.78%,23.99 MB,0.0010
mqtt,2,receiver,1.0,X,0.01,0.0106,X,599.422,True,,,
mqtt,2,sender,20.0,0.26,X,0.0012,1173,636.099,,2.48%,23.89 MB,0.0082
mqtt,2,receiver,20.0,X,0.26,0.0124,X,651.344,True,,,
mqtt,2,sender,0.244140625,0.01,X,0.0013,198,232.361,,0.00%,23.89 MB,0.0000
mqtt,2,receiver,0.244140625,X,0.00,0.0074,X,804.253,True,,,
mqtt,2,sender,50.0,0.65,X,0.0010,2674,645.736,,2.40%,24.02 MB,0.0195
mqtt,2,receiver,50.0,X,0.64,0.0129,X,650.385,True,,,
mqtt,2,sender,5.0,0.07,X,0.0011,422,573.146,,2.24%,24.02 MB,0.0021
mqtt,2,receiver,5.0,X,0.06,0.0121,X,661.789,True,,,
mqtt,0,sender,1.0,0.02,X,0.0004,221,471.230,,0.00%,23.52 MB,0.0000
mqtt,0,receiver,1.0,X,0.01,0.0079,X,564.329,True,,,
mqtt,0,sender,20.0,0.24,X,0.0006,1363,708.827,,2.74%,23.52 MB,0.0081
mqtt,0,receiver,20.0,X,0.23,0.0065,X,719.889,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0005,178,293.673,,0.00%,23.52 MB,0.0000
mqtt,0,receiver,0.244140625,X,0.00,0.0065,X,838.912,True,,,
mqtt,0,sender,50.0,0.61,X,0.0006,3164,691.969,,3.27%,23.52 MB,0.0248
mqtt,0,receiver,50.0,X,0.60,0.0075,X,698.287,True,,,
mqtt,0,sender,5.0,0.06,X,0.0005,462,667.111,,2.65%,23.52 MB,0.0021
mqtt,0,receiver,5.0,X,0.06,0.0064,X,712.557,True,,,
mqtt,1,sender,1.0,0.02,X,0.0010,251,382.107,,2.62%,23.53 MB,0.0007
mqtt,1,receiver,1.0,X,0.01,0.0071,X,560.632,True,,,
mqtt,1,sender,20.0,0.31,X,0.0009,1849,544.173,,11.20%,23.53 MB,0.0432
mqtt,1,receiver,20.0,X,0.30,0.0065,X,555.900,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0011,190,222.313,,0.00%,23.53 MB,0.0000
mqtt,1,receiver,0.244140625,X,0.00,0.0072,X,872.140,True,,,
mqtt,1,sender,50.0,0.76,X,0.0009,4370,555.229,,6.99%,23.54 MB,0.0660
mqtt,1,receiver,50.0,X,0.75,0.0070,X,560.167,True,,,
mqtt,1,sender,5.0,0.08,X,0.0007,588,524.748,,2.01%,23.59 MB,0.0020
mqtt,1,receiver,5.0,X,0.07,0.0073,X,572.966,True,,,
mqtt,2,sender,1.0,0.02,X,0.0009,271,351.946,,5.34%,23.59 MB,0.0016
mqtt,2,receiver,1.0,X,0.02,0.0071,X,498.954,True,,,
mqtt,2,sender,20.0,0.32,X,0.0012,2173,523.035,,2.84%,23.59 MB,0.0114
mqtt,2,receiver,20.0,X,0.31,0.0073,X,534.769,True,,,
mqtt,2,sender,0.244140625,0.01,X,0.0012,198,230.472,,0.00%,23.59 MB,0.0000
mqtt,2,receiver,0.244140625,X,0.00,0.0074,X,786.062,True,,,
mqtt,2,sender,50.0,0.79,X,0.0014,5174,533.817,,2.75%,23.59 MB,0.0271
mqtt,2,receiver,50.0,X,0.78,0.0107,X,541.169,True,,,
mqtt,2,sender,5.0,0.09,X,0.0010,672,460.302,,2.58%,23.60 MB,0.0030
mqtt,2,receiver,5.0,X,0.08,0.0081,X,504.255,True,,,
