protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,1.0,0.02,X,0.0004,191,427.914,,3.67%,23.69 MB,0.0009
mqtt,0,receiver,1.0,X,0.01,0.0124,X,615.961,True,,,
mqtt,0,sender,20.0,0.21,X,0.0004,763,792.515,,2.63%,23.76 MB,0.0070
mqtt,0,receiver,20.0,X,0.29,0.0118,X,587.991,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0004,178,251.734,,180.87%,23.76 MB,0.0196
mqtt,0,receiver,0.244140625,X,0.00,0.0078,X,790.666,True,,,
mqtt,0,sender,50.0,0.45,X,0.0005,1664,927.241,,2.54%,23.89 MB,0.0144
mqtt,0,receiver,50.0,X,0.63,0.0134,X,667.636,True,,,
mqtt,0,sender,5.0,0.05,X,0.0005,312,773.885,,2.66%,23.89 MB,0.0018
mqtt,0,receiver,5.0,X,0.07,0.0119,X,637.358,True,,,
mqtt,1,sender,1.0,0.02,X,0.0010,209,406.009,,0.00%,23.77 MB,0.0000
mqtt,1,receiver,1.0,X,0.01,0.0116,X,698.010,True,,,
mqtt,1,sender,20.0,0.26,X,0.0008,1009,642.222,,2.15%,23.86 MB,0.0070
mqtt,1,receiver,20.0,X,0.25,0.0101,X,661.365,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0008,190,248.702,,0.00%,23.86 MB,0.0000
mqtt,1,receiver,0.244140625,X,0.00,0.0061,X,794.354,True,,,
mqtt,1,sender,50.0,0.65,X,0.0008,2270,645.035,,2.02%,23.86 MB,0.0165
mqtt,1,receiver,50.0,X,0.64,0.0117,X,652.639,True,,,
mqtt,1,sender,5.0,0.08,X,0.0008,378,518.563,,1.98%,23.90 MB,0.0020
mqtt,1,receiver,5.0,X,0.07,0.0111,X,579.315,True,,,
mqtt,2,sender,1.0,0.04,X,0.0022,221,202.479,,1.86%,23.90 MB,0.0010
mqtt,2,receiver,1.0,X,0.02,0.0219,X,342.561,True,,,
mqtt,2,sender,20.0,0.46,X,0.0015,1173,365.608,,2.52%,23.90 MB,0.0145
mqtt,2,receiver,20.0,X,0.44,0.0182,X,377.236,True,,,
mqtt,2,sender,0.244140625,0.05,X,0.0086,198,38.816,,8.73%,23.90 MB,0.0061
mqtt,2,receiver,0.244140625,X,0.01,0.0455,X,148.212,True,,,
mqtt,2,sender,50.0,0.96,X,0.0010,2674,437.863,,2.43%,23.81 MB,0.0292
mqtt,2,receiver,50.0,X,0.96,0.0153,X,439.103,True,,,
mqtt,2,sender,5.0,0.11,X,0.0018,422,377.877,,2.13%,24.05 MB,0.0030
mqtt,2,receiver,5.0,X,0.09,0.0197,X,449.657,True,,,
