protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,integrity_ok
mqtt,0,sender,1.0,0.03,X,0.0004,85,
mqtt,X,receiver,1.0,X,0.01,0.0325,X,True
mqtt,0,sender,20.0,0.38,X,0.0004,372,
mqtt,0,sender,0.244140625,0.02,X,0.0003,87,
mqtt,X,receiver,20.0,X,0.36,0.0304,X,True
mqtt,X,receiver,0.244140625,X,0.00,0.0043,X,True
mqtt,0,sender,50.0,0.94,X,0.0003,822,
mqtt,0,sender,5.0,0.09,X,0.0004,145,
mqtt,1,sender,1.0,0.02,X,0.0012,89,
mqtt,X,receiver,50.0,X,0.93,0.0315,X,True
mqtt,X,receiver,5.0,X,0.05,0.0073,X,True
mqtt,X,receiver,1.0,X,0.01,0.0058,X,True
mqtt,1,sender,20.0,0.38,X,0.0006,414,
mqtt,1,sender,0.244140625,0.02,X,0.0008,91,
mqtt,X,receiver,20.0,X,0.29,0.0062,X,True
mqtt,X,receiver,0.244140625,X,0.00,0.0034,X,True
mqtt,1,sender,50.0,0.90,X,0.0009,924,
mqtt,1,sender,5.0,0.09,X,0.0007,157,
mqtt,2,sender,1.0,0.02,X,0.0010,89,
mqtt,X,receiver,50.0,X,0.88,0.0260,X,True
mqtt,X,receiver,5.0,X,0.06,0.0071,X,True
mqtt,X,receiver,1.0,X,0.01,0.0022,X,True
mqtt,2,sender,20.0,0.40,X,0.0010,414,
mqtt,2,sender,0.244140625,0.02,X,0.0010,91,
mqtt,X,receiver,20.0,X,0.25,0.0056,X,True
mqtt,X,receiver,0.244140625,X,0.00,0.0028,X,True
mqtt,2,sender,50.0,0.94,X,0.0012,924,
mqtt,2,sender,5.0,0.10,X,0.0009,157,
mqtt,X,receiver,50.0,X,0.92,0.0279,X,True
mqtt,X,receiver,5.0,X,0.04,0.0031,X,True
