protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,0.244140625,20.27,X,0.0004,-18048,-7.0500,0.101,,0.08%,23.44 MB,0.0219
mqtt,0,receiver,0.244140625,X,0.01,2.2170,X,,381.146,False,,,
mqtt,0,sender,1.0,60.01,X,0.0003,53854,5.1359,0.140,,0.08%,27.52 MB,0.0718
mqtt,0,receiver,5.0,X,341.20,4.8836,X,,0.123,False,,,
mqtt,0,sender,5.0,300.06,X,0.0003,458146,8.7384,0.140,,0.09%,31.29 MB,0.4082
mqtt,0,receiver,20.0,X,824.40,1.2071,X,,0.204,False,,,
mqtt,0,sender,20.0,853.48,X,0.0003,2773144,13.2234,0.197,,0.09%,31.21 MB,0.9099
mqtt,0,receiver,50.0,X,2000.62,10.1886,X,,0.210,False,,,
mqtt,0,sender,50.0,2031.08,X,0.0001,7345965,14.0113,0.207,,0.08%,31.89 MB,2.1394
mqtt,1,receiver,1.0,X,0.01,17.0551,X,,740.166,False,,,
mqtt,1,sender,0.244140625,18.37,X,1.4724,361233,141.1066,0.111,,0.08%,29.52 MB,0.0187
mqtt,1,sender,1.0,60.80,X,0.7870,123864,11.8126,0.138,,0.08%,31.37 MB,0.0937
mqtt,1,receiver,1.0,X,0.01,90.0596,X,,572.413,True,,,
mqtt,1,sender,5.0,300.98,X,0.9169,672772,12.8321,0.139,,0.09%,35.26 MB,0.3673
mqtt,1,receiver,5.0,X,259.27,86.6477,X,,0.162,True,,,
mqtt,1,sender,20.0,887.32,X,0.4306,3021080,14.4056,0.189,,0.08%,32.50 MB,0.9183
mqtt,1,receiver,20.0,X,801.96,86.1421,X,,0.209,True,,,
mqtt,1,sender,50.0,2160.09,X,0.1801,7485775,14.2780,0.194,,0.08%,33.09 MB,2.2537
mqtt,1,receiver,50.0,X,2092.83,68.2220,X,,0.200,True,,,
mqtt,2,receiver,0.244140625,X,0.00,21.3407,X,,600.181,True,,,
mqtt,2,sender,0.244140625,21.64,X,1.0826,35752,13.9656,0.095,,0.09%,29.37 MB,0.0249
mqtt,2,sender,1.0,60.98,X,0.9588,114956,10.9631,0.138,,0.09%,31.62 MB,0.0884
mqtt,2,receiver,1.0,X,0.01,82.2179,X,,777.179,True,,,
mqtt,2,receiver,5.0,X,126.26,169.2115,X,,0.332,True,,,
mqtt,2,sender,5.0,295.54,X,0.6172,726748,13.8616,0.142,,0.09%,34.66 MB,0.3154
mqtt,2,sender,20.0,853.98,X,0.6537,3007804,14.3423,0.196,,0.09%,31.53 MB,0.9058
mqtt,2,receiver,20.0,X,749.38,105.0660,X,,0.224,True,,,
mqtt,2,sender,50.0,2109.84,X,0.5512,7553185,14.4066,0.199,,0.08%,31.78 MB,2.2149
mqtt,2,receiver,50.0,X,2057.30,52.8101,X,,0.204,True,,,
mqtt,0,sender,0.244140625,14.14,X,0.0004,,,0.145,,,,
mqtt,0,receiver,0.244140625,X,0.00,3.2928,X,,828.699,False,,,
mqtt,0,sender,1.0,60.02,X,0.0002,,,0.140,,,,
mqtt,0,receiver,5.0,X,267.76,2.2155,X,,0.157,False,,,
mqtt,0,sender,5.0,297.11,X,0.0003,,,0.141,,,,
mqtt,0,receiver,20.0,X,814.28,9.2163,X,,0.206,False,,,
mqtt,0,sender,20.0,854.83,X,0.0004,,,0.196,,,,
mqtt,0,receiver,50.0,X,2005.87,4.6670,X,,0.209,False,,,
mqtt,0,sender,50.0,2035.44,X,0.0002,,,0.206,,,,
mqtt,1,receiver,1.0,X,0.01,13.9109,X,,882.383,False,,,
mqtt,1,sender,0.244140625,27.58,X,1.1789,,,0.074,,,,
mqtt,1,sender,1.0,60.60,X,0.5828,,,0.138,,,,
mqtt,1,receiver,1.0,X,0.01,79.7608,X,,736.032,True,,,
mqtt,1,sender,5.0,213.87,X,0.5328,,,0.196,,,,
mqtt,1,receiver,5.0,X,170.94,43.7027,X,,0.245,True,,,
mqtt,1,sender,20.0,834.64,X,0.7343,,,0.201,,,,
mqtt,1,receiver,20.0,X,778.85,56.3031,X,,0.215,True,,,
mqtt,1,sender,50.0,2174.81,X,0.1994,,,0.193,,,,
mqtt,1,receiver,50.0,X,2086.28,89.3879,X,,0.201,True,,,
mqtt,2,receiver,0.244140625,X,0.00,11.7400,X,,786.465,True,,,
mqtt,2,sender,0.244140625,12.34,X,1.1185,,,0.166,,,,
mqtt,2,sender,1.0,56.44,X,1.1562,,,0.149,,,,
mqtt,2,receiver,1.0,X,0.01,56.5656,X,,835.852,True,,,
mqtt,2,sender,5.0,300.81,X,0.7631,,,0.139,,,,
mqtt,2,receiver,5.0,X,279.11,122.7869,X,,0.150,True,,,
mqtt,2,sender,20.0,932.74,X,0.4411,,,0.180,,,,
mqtt,2,receiver,20.0,X,780.24,152.7199,X,,0.215,True,,,
mqtt,2,sender,50.0,2242.69,X,2.0518,,,0.187,,,,
mqtt,2,receiver,50.0,X,2124.37,117.8042,X,,0.197,True,,,
