protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,sender,0.244140625,6.39,X,0.0003,-74288,-29.0187,0.320,,0.10%,23.40 MB,0.0093
mqtt,0,receiver,0.244140625,X,0.00,2.3421,X,,867.708,False,,,
mqtt,0,sender,1.0,45.97,X,0.0004,66734,6.3643,0.182,,0.08%,27.61 MB,0.0489
mqtt,0,sender,5.0,239.43,X,0.0006,285436,5.4443,0.175,,0.08%,29.41 MB,0.2520
mqtt,0,receiver,20.0,X,994.61,0.9905,X,,0.169,False,,,
mqtt,0,sender,20.0,1038.42,X,0.0002,1578663,7.5277,0.162,,0.09%,30.25 MB,1.1036
mqtt,0,receiver,50.0,X,2492.50,3.3506,X,,0.168,False,,,
mqtt,0,sender,50.0,2533.42,X,0.0004,3820519,7.2871,0.166,,0.08%,32.07 MB,2.6742
mqtt,1,receiver,1.0,X,0.01,9.3367,X,,804.505,False,,,
mqtt,1,sender,0.244140625,11.34,X,0.3600,192472,75.1844,0.181,,0.08%,29.77 MB,0.0124
mqtt,1,sender,1.0,52.81,X,0.4347,84728,8.0803,0.159,,0.09%,32.10 MB,0.0593
mqtt,1,receiver,1.0,X,0.01,53.4021,X,,1199.571,True,,,
mqtt,1,receiver,5.0,X,207.73,49.3081,X,,0.202,True,,,
mqtt,1,sender,5.0,256.65,X,0.3974,399548,7.6208,0.163,,0.09%,32.15 MB,0.2791
mqtt,1,sender,20.0,1044.66,X,0.3594,1670761,7.9668,0.161,,0.09%,31.05 MB,1.1136
mqtt,1,receiver,20.0,X,989.29,56.1170,X,,0.170,True,,,
mqtt,1,sender,50.0,2557.42,X,0.1738,4109781,7.8388,0.164,,0.09%,32.34 MB,2.8965
mqtt,1,receiver,50.0,X,2509.16,49.3913,X,,0.167,True,,,
mqtt,2,receiver,0.244140625,X,0.00,9.9556,X,,470.528,True,,,
mqtt,2,sender,0.244140625,10.10,X,0.7176,20374,7.9586,0.203,,0.09%,30.09 MB,0.0125
mqtt,2,sender,1.0,47.79,X,0.6327,85148,8.1203,0.176,,0.09%,31.37 MB,0.0530
mqtt,2,receiver,1.0,X,0.01,48.1100,X,,750.059,True,,,
mqtt,2,sender,5.0,259.19,X,0.4723,423450,8.0767,0.162,,0.08%,30.84 MB,0.2696
mqtt,2,receiver,5.0,X,208.78,51.2480,X,,0.201,True,,,
mqtt,2,sender,20.0,1023.33,X,0.3826,1607341,7.6644,0.164,,0.09%,30.91 MB,1.1056
mqtt,2,receiver,20.0,X,977.54,46.3312,X,,0.172,True,,,
mqtt,2,sender,50.0,2588.11,X,0.3477,4040803,7.7072,0.162,,0.09%,32.37 MB,2.7799
mqtt,2,receiver,50.0,X,2540.58,48.5637,X,,0.165,True,,,
mqtt,0,sender,0.244140625,6.78,X,0.0003,,,0.302,,,,
mqtt,0,receiver,0.244140625,X,0.00,11.5074,X,,671.972,True,,,
mqtt,0,sender,1.0,44.89,X,0.0002,,,0.187,,,,
mqtt,0,receiver,1.0,X,0.01,49.0016,X,,929.522,True,,,
mqtt,0,sender,5.0,247.37,X,0.0002,,,0.170,,,,
mqtt,0,receiver,5.0,X,202.10,48.9140,X,,0.208,True,,,
mqtt,0,sender,20.0,1022.39,X,0.0003,,,0.164,,,,
mqtt,0,receiver,50.0,X,2503.09,2.5341,X,,0.168,False,,,
mqtt,0,sender,50.0,2553.16,X,0.0002,,,0.164,,,,
mqtt,1,receiver,0.244140625,X,0.00,12.0926,X,,585.524,True,,,
mqtt,1,sender,0.244140625,11.85,X,0.3985,,,0.173,,,,
mqtt,1,receiver,1.0,X,0.01,53.2207,X,,1021.306,True,,,
mqtt,1,sender,1.0,52.70,X,0.4376,,,0.159,,,,
mqtt,1,receiver,5.0,X,208.62,50.3301,X,,0.201,True,,,
mqtt,1,sender,5.0,258.39,X,0.3168,,,0.162,,,,
mqtt,1,sender,20.0,1017.17,X,0.3456,,,0.165,,,,
mqtt,1,receiver,20.0,X,966.26,52.0481,X,,0.174,True,,,
mqtt,1,sender,50.0,2563.19,X,0.1882,,,0.164,,,,
mqtt,1,receiver,50.0,X,2515.51,48.4164,X,,0.167,True,,,
mqtt,2,receiver,0.244140625,X,0.00,11.5003,X,,804.730,True,,,
mqtt,2,sender,0.244140625,11.50,X,0.6472,,,0.178,,,,
mqtt,2,sender,1.0,51.01,X,0.7459,,,0.164,,,,
mqtt,2,receiver,1.0,X,0.01,51.3014,X,,912.631,True,,,
mqtt,2,sender,5.0,258.33,X,0.4906,,,0.162,,,,
mqtt,2,receiver,5.0,X,211.60,47.4885,X,,0.198,True,,,
