protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,1,receiver,0.244140625,X,0.00,10.4987,X,,752.122,True,,,
mqtt,1,sender,0.244140625,10.07,X,0.2471,,,0.203,,,,
mqtt,1,receiver,1.0,X,0.01,45.2582,X,,936.203,True,,,
mqtt,1,sender,1.0,44.62,X,0.2182,,,0.188,,,,
mqtt,1,receiver,5.0,X,183.11,46.2833,X,,0.229,True,,,
mqtt,1,sender,5.0,228.86,X,0.3616,,,0.183,,,,
mqtt,1,sender,20.0,883.26,X,0.1064,,,0.190,,,,
mqtt,1,receiver,20.0,X,840.45,43.7834,X,,0.200,True,,,
mqtt,1,sender,50.0,2268.05,X,0.2292,,,0.185,,,,
mqtt,1,receiver,50.0,X,2221.62,47.3123,X,,0.189,True,,,
mqtt,2,sender,0.244140625,11.17,X,0.7382,,,0.183,,,,
mqtt,2,receiver,0.244140625,X,0.00,11.2947,X,,692.834,True,,,
mqtt,2,sender,1.0,47.24,X,0.5196,,,0.178,,,,
mqtt,2,receiver,1.0,X,0.01,47.6544,X,,835.853,True,,,
mqtt,2,sender,5.0,227.42,X,0.5572,,,0.184,,,,
mqtt,2,receiver,5.0,X,183.93,44.2834,X,,0.228,True,,,
mqtt,2,sender,20.0,909.76,X,0.1719,,,0.184,,,,
mqtt,2,receiver,20.0,X,865.02,45.6752,X,,0.194,True,,,
mqtt,2,sender,50.0,2252.98,X,0.1285,,,0.186,,,,
mqtt,2,receiver,50.0,X,2208.87,44.8515,X,,0.190,True,,,
mqtt,1,receiver,0.244140625,X,0.00,9.7404,X,,638.363,True,,,
mqtt,1,sender,0.244140625,9.69,X,0.4357,,,0.211,,,,
mqtt,1,receiver,1.0,X,0.01,44.6138,X,,1043.628,True,,,
mqtt,1,sender,1.0,44.02,X,0.0697,,,0.191,,,,
mqtt,1,receiver,5.0,X,179.54,44.1895,X,,0.234,True,,,
mqtt,1,sender,5.0,223.33,X,0.4932,,,0.188,,,,
mqtt,1,sender,20.0,904.44,X,0.2224,,,0.185,,,,
mqtt,1,receiver,20.0,X,861.50,43.6808,X,,0.195,True,,,
mqtt,1,sender,50.0,2259.46,X,0.0156,,,0.186,,,,
mqtt,1,receiver,50.0,X,2211.76,48.9391,X,,0.190,True,,,
mqtt,2,receiver,0.244140625,X,0.00,9.3804,X,,695.853,True,,,
mqtt,2,sender,0.244140625,8.94,X,0.3042,,,0.229,,,,
mqtt,2,sender,1.0,43.33,X,0.5846,,,0.194,,,,
mqtt,2,receiver,1.0,X,0.01,43.8203,X,,977.946,True,,,
mqtt,2,sender,5.0,222.27,X,0.4481,,,0.189,,,,
mqtt,2,receiver,5.0,X,178.37,44.6128,X,,0.235,True,,,
mqtt,2,sender,20.0,902.63,X,0.3252,,,0.186,,,,
mqtt,2,receiver,20.0,X,858.74,44.7671,X,,0.195,True,,,
mqtt,2,sender,50.0,2265.96,X,0.3153,,,0.185,,,,
mqtt,2,receiver,50.0,X,2223.41,43.3412,X,,0.189,True,,,
